growthp0001	growthqtlp0001	growthp0005	growthqtlp0005	growthp001	growthqtlp001	heightp0001	heightqtlp0001	heightp0005	heightqtlp0005	heightp001	heightqtlp001
SORBI_3002G370800	SORBI_3004G136100	SORBI_3002G126900	SORBI_3003G081000	SORBI_3001G328100	SORBI_3001G287000	SORBI_3001G306700	SORBI_3001G270301	SORBI_3001G270301	SORBI_3001G262950	SORBI_3001G264700	SORBI_3001G253300
SORBI_3003G167000	SORBI_3004G136366	SORBI_3002G136400	SORBI_3003G136200	SORBI_3001G398800	SORBI_3001G317300	ENSRNA049482464	SORBI_3001G274900	SORBI_3001G276100	SORBI_3001G263701	SORBI_3001G265600	SORBI_3001G253600
SORBI_3003G170501	SORBI_3004G138800	SORBI_3002G137300	SORBI_3003G161200	SORBI_3001G475200	SORBI_3001G327800	SORBI_3001G340700	SORBI_3001G276550	SORBI_3001G276550	SORBI_3001G264600	SORBI_3001G266000	SORBI_3001G253750
SORBI_3003G170966	SORBI_3005G092500	SORBI_3002G142132	SORBI_3003G166750	SORBI_3001G500100	SORBI_3001G328100	ENSRNA049482436	SORBI_3001G281300	SORBI_3001G280000	SORBI_3001G265600	SORBI_3001G268000	ENSRNA049444535
SORBI_3003G204400	SORBI_3005G110160	SORBI_3002G143300	SORBI_3003G167000	SORBI_3001G534300	SORBI_3001G331200	SORBI_3001G432700	SORBI_3001G286050	SORBI_3001G281300	SORBI_3001G267600	SORBI_3001G270200	SORBI_3001G255932
SORBI_3003G226600	SORBI_3005G112700	SORBI_3002G144966	SORBI_3003G167875	SORBI_3001G538100	SORBI_3001G475200	SORBI_3002G013550	SORBI_3001G298032	SORBI_3001G283900	SORBI_3001G268000	SORBI_3001G270301	SORBI_3001G257100
SORBI_3004G111400	SORBI_3005G114101	SORBI_3002G145200	SORBI_3003G170501	SORBI_3002G038866	SORBI_3002G051450	SORBI_3002G073250	SORBI_3001G306700	SORBI_3001G298032	SORBI_3001G268550	SORBI_3001G270700	SORBI_3001G257300
SORBI_3004G126700	ENSRNA049485575	SORBI_3002G146000	SORBI_3003G170700	SORBI_3002G051450	SORBI_3002G098400	SORBI_3002G096201	SORBI_3001G340700	SORBI_3001G306700	SORBI_3001G269400	SORBI_3001G276100	SORBI_3001G260000
SORBI_3004G134100	SORBI_3005G129000	SORBI_3002G147400	SORBI_3003G170800	SORBI_3002G072100	SORBI_3002G261450	SORBI_3002G100900	ENSRNA049482436	SORBI_3001G306800	SORBI_3001G270301	SORBI_3001G276550	SORBI_3001G261400
SORBI_3004G135700	SORBI_3005G130600	ENSRNA049465492	SORBI_3003G170966	SORBI_3002G078800	SORBI_3002G275800	SORBI_3002G121800	SORBI_3001G373800	SORBI_3001G340700	SORBI_3001G270700	SORBI_3001G279900	SORBI_3001G262800
SORBI_3004G136366	SORBI_3005G130700	SORBI_3002G147433	SORBI_3003G171400	SORBI_3002G098400	SORBI_3002G316301	SORBI_3002G127200	SORBI_3001G432700	SORBI_3001G353800	SORBI_3001G276100	SORBI_3001G280000	SORBI_3001G262900
SORBI_3004G142000	SORBI_3005G145400	SORBI_3002G147500	SORBI_3003G171500	SORBI_3002G099350	SORBI_3002G323400	SORBI_3002G129200	SORBI_3002G013550	SORBI_3001G381250	SORBI_3001G279701	SORBI_3001G281300	SORBI_3001G262950
SORBI_3004G154200	SORBI_3005G182000	SORBI_3002G150733	SORBI_3003G173400	SORBI_3002G103800	SORBI_3003G136200	SORBI_3002G135700	SORBI_3002G136400	SORBI_3001G446500	SORBI_3001G280000	SORBI_3001G283100	SORBI_3001G263200
SORBI_3004G316600	SORBI_3006G247500	SORBI_3002G150866	SORBI_3003G173800	SORBI_3002G117600	SORBI_3003G161200	SORBI_3002G136400	SORBI_3002G138300	SORBI_3001G472050	SORBI_3001G281300	SORBI_3001G283900	SORBI_3001G263701
SORBI_3005G092500	SORBI_3007G109800	SORBI_3002G153200	SORBI_3003G174400	SORBI_3002G120300	SORBI_3003G161950	SORBI_3002G138300	SORBI_3002G139200	SORBI_3001G504700	SORBI_3001G283900	SORBI_3001G298032	SORBI_3001G264600
SORBI_3005G101850	SORBI_3007G111200	SORBI_3002G154000	SORBI_3003G179201	SORBI_3002G120700	SORBI_3003G162666	SORBI_3002G139200	SORBI_3002G141900	SORBI_3002G013550	SORBI_3001G298032	SORBI_3001G299400	SORBI_3001G264700
SORBI_3005G110160	SORBI_3007G113200	SORBI_3002G155200	SORBI_3004G110200	SORBI_3002G125300	SORBI_3003G165551	SORBI_3002G141900	SORBI_3002G142300	SORBI_3002G027232	SORBI_3001G306700	SORBI_3001G306700	SORBI_3001G265600
SORBI_3005G112700	SORBI_3008G069300	SORBI_3002G158401	SORBI_3004G127000	SORBI_3002G126900	SORBI_3003G166875	SORBI_3002G142300	SORBI_3002G145600	SORBI_3002G035700	SORBI_3001G340700	SORBI_3001G306800	SORBI_3001G266000
SORBI_3005G114101	SORBI_3008G069401	SORBI_3002G261450	SORBI_3004G127600	SORBI_3002G128300	SORBI_3003G167000	SORBI_3002G145550	SORBI_3002G146701	SORBI_3002G062600	SORBI_3001G353800	SORBI_3001G325850	SORBI_3001G267600
ENSRNA049485575	SORBI_3008G070100	SORBI_3003G081000	SORBI_3004G129100	SORBI_3002G129800	SORBI_3003G167875	SORBI_3002G145600	SORBI_3002G147200	SORBI_3002G092901	SORBI_3001G381250	SORBI_3001G340700	SORBI_3001G268000
SORBI_3005G130600	SORBI_3008G070700	SORBI_3003G161200	SORBI_3004G130900	SORBI_3002G137300	SORBI_3003G170300	SORBI_3002G146701	SORBI_3002G147350	SORBI_3002G096201	ENSRNA049480033	SORBI_3001G353800	SORBI_3001G268550
SORBI_3005G130700	SORBI_3008G078800	SORBI_3003G167000	SORBI_3004G134100	SORBI_3002G139300	SORBI_3003G170700	SORBI_3002G147200	ENSRNA049465492	SORBI_3002G100900	SORBI_3001G446500	SORBI_3001G381250	SORBI_3001G270301
SORBI_3005G182000	SORBI_3008G092866	SORBI_3003G167875	SORBI_3004G135366	SORBI_3002G143300	SORBI_3003G170800	SORBI_3002G147350	SORBI_3002G147500	SORBI_3002G120300	SORBI_3001G446800	SORBI_3001G384600	SORBI_3001G270700
SORBI_3005G232200	SORBI_3008G102532	SORBI_3003G170700	SORBI_3004G135400	SORBI_3002G144966	SORBI_3003G170966	SORBI_3002G147400	SORBI_3002G148851	SORBI_3002G121800	SORBI_3001G467000	SORBI_3001G432700	SORBI_3001G276100
SORBI_3006G018900	SORBI_3008G110600	SORBI_3003G170800	SORBI_3004G135700	SORBI_3002G146000	SORBI_3003G171500	ENSRNA049465492	SORBI_3002G148900	SORBI_3002G129200	SORBI_3001G472050	SORBI_3001G435800	SORBI_3001G278900
SORBI_3006G037200	SORBI_3008G121240	SORBI_3003G171500	SORBI_3004G136366	SORBI_3002G146400	SORBI_3003G173600	SORBI_3002G147500	SORBI_3002G149000	SORBI_3002G135750	SORBI_3001G486000	ENSRNA049480033	SORBI_3001G279900
SORBI_3006G038500	SORBI_3009G074400	SORBI_3003G174400	SORBI_3005G092500	SORBI_3002G146800	SORBI_3003G174400	SORBI_3002G148400	SORBI_3002G150733	SORBI_3002G136100	SORBI_3002G013550	SORBI_3001G446500	SORBI_3001G280000
SORBI_3006G039400	SORBI_3009G090400	SORBI_3003G187200	SORBI_3005G093901	SORBI_3002G147200	SORBI_3003G178800	SORBI_3002G148851	SORBI_3002G150800	SORBI_3002G136400	SORBI_3002G135750	SORBI_3001G446800	SORBI_3001G281300
SORBI_3006G039700	SORBI_3009G094600	SORBI_3003G200900	SORBI_3005G098100	SORBI_3002G147400	SORBI_3003G179201	SORBI_3002G148900	SORBI_3002G155700	SORBI_3002G137400	SORBI_3002G136400	SORBI_3001G472050	SORBI_3001G283100
SORBI_3006G041700	SORBI_3009G094900	SORBI_3003G204400	SORBI_3005G099550	ENSRNA049465492	SORBI_3004G037200	SORBI_3002G149000	SORBI_3002G157400	SORBI_3002G138100	SORBI_3002G137400	SORBI_3001G476700	SORBI_3001G283900
SORBI_3006G041800	SORBI_3009G095800	SORBI_3003G216800	SORBI_3005G101900	SORBI_3002G147600	SORBI_3004G054700	SORBI_3002G150800	SORBI_3002G157500	SORBI_3002G138300	SORBI_3002G138100	SORBI_3001G504700	SORBI_3001G298032
SORBI_3006G048775	SORBI_3009G096100	SORBI_3003G226600	SORBI_3005G102401	SORBI_3002G148400	SORBI_3004G122200	SORBI_3002G157500	SORBI_3002G189600	SORBI_3002G139200	SORBI_3002G138300	SORBI_3002G005000	SORBI_3001G299400
SORBI_3006G049700	SORBI_3009G097100	SORBI_3003G425100	SORBI_3005G103300	SORBI_3002G149000	SORBI_3004G127000	SORBI_3002G168550	SORBI_3002G245800	SORBI_3002G142700	SORBI_3002G139200	SORBI_3002G013550	SORBI_3001G302400
SORBI_3006G075000	SORBI_3009G098601	SORBI_3004G111400	ENSRNA049996183	SORBI_3002G149101	SORBI_3004G129100	SORBI_3002G189600	SORBI_3002G261200	SORBI_3002G143200	SORBI_3002G141200	SORBI_3002G035700	SORBI_3001G306700
SORBI_3006G079500	SORBI_3010G115000	SORBI_3004G122100	SORBI_3005G105600	SORBI_3002G150733	SORBI_3004G130900	SORBI_3002G200300	SORBI_3002G266300	SORBI_3002G143450	SORBI_3002G142700	SORBI_3002G055900	SORBI_3001G306800
