growthp0001	growthqtlp0001	growthp0005	growthqtlp0005	growthp001	growthqtlp001	heightp0001	heightqtlp0001	heightp0005	heightqtlp0005	heightp001	heightqtlp001
SORBI_3002G127100	SORBI_3009G094700	SORBI_3006G050050	SORBI_3008G098700	SORBI_3004G111400	SORBI_3007G110900	SORBI_3004G100900	SORBI_3004G159866	SORBI_3003G148600	SORBI_3003G148600	SORBI_3002G153050	SORBI_3002G230100
SORBI_3002G135600	SORBI_3009G095100	SORBI_3006G072501	SORBI_3008G099000	SORBI_3004G121100	SORBI_3007G111100	SORBI_3004G113800	SORBI_3004G176600	SORBI_3003G149100	SORBI_3003G149100	SORBI_3002G153200	SORBI_3002G233500
SORBI_3002G146100	SORBI_3009G096300	SORBI_3006G084900	SORBI_3008G100400	SORBI_3004G122100	SORBI_3007G111200	SORBI_3004G119400	SORBI_3004G212250	SORBI_3003G158100	SORBI_3003G216700	SORBI_3002G153800	SORBI_3002G261200
SORBI_3002G146501	SORBI_3009G097200	SORBI_3006G097300	SORBI_3008G101350	SORBI_3004G122200	SORBI_3007G112766	SORBI_3004G122100	SORBI_3004G229500	SORBI_3003G164200	SORBI_3003G254500	SORBI_3002G157400	SORBI_3002G266300
SORBI_3002G147500	SORBI_3009G098700	SORBI_3006G131800	SORBI_3008G102050	SORBI_3004G129100	SORBI_3008G069300	SORBI_3004G122200	SORBI_3004G251350	SORBI_3003G165251	SORBI_3003G258900	SORBI_3002G157500	SORBI_3002G276000
SORBI_3002G150766	SORBI_3010G115200	SORBI_3006G247500	SORBI_3008G102532	SORBI_3004G132600	SORBI_3008G073700	SORBI_3004G128200	SORBI_3005G017900	SORBI_3003G166400	SORBI_3003G292866	SORBI_3002G162200	SORBI_3002G280800
SORBI_3002G155301	SORBI_3010G126100	SORBI_3007G068500	SORBI_3008G105300	SORBI_3004G134100	SORBI_3008G074900	SORBI_3004G130400	SORBI_3005G018700	SORBI_3003G166750	SORBI_3003G292932	SORBI_3002G164300	SORBI_3002G283200
SORBI_3002G158500	SORBI_3010G140100	SORBI_3007G090463	SORBI_3008G105850	SORBI_3004G135366	SORBI_3008G075600	SORBI_3004G130600	SORBI_3005G064300	SORBI_3003G166875	SORBI_3003G302800	SORBI_3002G164866	SORBI_3002G322900
SORBI_3003G170600	SORBI_3010G140200	SORBI_3007G091200	SORBI_3008G106400	SORBI_3004G136800	SORBI_3008G077600	SORBI_3004G132400	SORBI_3005G089800	SORBI_3003G167000	SORBI_3003G304500	SORBI_3002G168550	SORBI_3003G018600
SORBI_3003G171032	SORBI_3010G140750	SORBI_3007G092400	SORBI_3008G107300	SORBI_3004G139500	SORBI_3008G078600	SORBI_3004G134700	SORBI_3005G090401	SORBI_3003G167300	SORBI_3003G315700	SORBI_3002G169200	SORBI_3003G027000
SORBI_3003G226700	SORBI_3010G141001	SORBI_3007G094050	SORBI_3008G109300	SORBI_3004G141800	SORBI_3008G078800	SORBI_3004G134900	SORBI_3005G096201	SORBI_3003G167900	SORBI_3003G321400	SORBI_3002G174600	SORBI_3003G040200
SORBI_3004G111500	SORBI_3010G142401	SORBI_3007G098400	SORBI_3008G110600	SORBI_3004G142000	SORBI_3008G082600	SORBI_3004G135000	ENSRNA049996218	SORBI_3003G169600	SORBI_3003G337400	SORBI_3002G189600	SORBI_3003G040800
SORBI_3004G126900	SORBI_3010G152700	SORBI_3007G099100	SORBI_3008G115600	SORBI_3004G144800	SORBI_3008G086500	SORBI_3004G135366	SORBI_3005G103000	SORBI_3003G170600	SORBI_3003G405600	SORBI_3002G191900	SORBI_3003G068700
SORBI_3004G134200		SORBI_3007G103600	SORBI_3008G121240	SORBI_3004G148750	SORBI_3008G088200	SORBI_3004G136300	SORBI_3005G103200	SORBI_3003G170900	SORBI_3003G438000	SORBI_3002G193600	SORBI_3003G128350
SORBI_3004G135800		SORBI_3007G106800	SORBI_3008G133500	SORBI_3004G154300	SORBI_3008G088450	SORBI_3004G136400	SORBI_3005G111200	SORBI_3003G171300	SORBI_3004G050000	SORBI_3002G195900	SORBI_3003G128500
SORBI_3004G136400		SORBI_3007G111100	SORBI_3008G184900	SORBI_3004G158300	SORBI_3008G088887	SORBI_3004G138750	SORBI_3005G111800	SORBI_3003G171400	SORBI_3004G054700	SORBI_3002G200300	SORBI_3003G128800
SORBI_3004G142201		SORBI_3007G111200	SORBI_3009G014700	SORBI_3004G169800	SORBI_3008G088890	SORBI_3004G138800	SORBI_3005G112100	SORBI_3003G173600	SORBI_3004G092000	SORBI_3002G201000	SORBI_3003G144100
SORBI_3004G154300		SORBI_3007G111600	SORBI_3009G090400	SORBI_3004G303400	SORBI_3008G089366	SORBI_3004G139500	SORBI_3005G112900	SORBI_3003G173800	SORBI_3004G100500	SORBI_3002G217100	ENSRNA049484868
SORBI_3005G101900		SORBI_3007G114401	SORBI_3009G093100	SORBI_3004G316600	SORBI_3008G089800	SORBI_3004G139800	SORBI_3005G113766	SORBI_3003G174800	SORBI_3004G100900	SORBI_3002G230100	SORBI_3003G144800
SORBI_3005G110200		SORBI_3007G117500	SORBI_3009G094600	SORBI_3004G359300	SORBI_3008G090900	SORBI_3004G140200	SORBI_3005G115000	SORBI_3003G176650	SORBI_3004G110200	SORBI_3002G233500	SORBI_3003G144900
SORBI_3005G112800		SORBI_3007G118025	SORBI_3009G095400	SORBI_3005G001000	SORBI_3008G092532	SORBI_3004G140400	ENSRNA049485575	SORBI_3003G177000	SORBI_3004G113800	SORBI_3002G261200	SORBI_3003G146450
SORBI_3005G114201		SORBI_3007G119000	SORBI_3009G095720	SORBI_3005G077900	SORBI_3008G092600	SORBI_3004G144500	SORBI_3005G115200	SORBI_3003G178601	SORBI_3004G119400	SORBI_3002G266300	SORBI_3003G147000
SORBI_3005G115200		SORBI_3007G126600	SORBI_3009G096100	SORBI_3005G081900	SORBI_3008G092866	SORBI_3004G144800	SORBI_3005G116000	SORBI_3003G178700	SORBI_3004G122100	SORBI_3002G276000	SORBI_3003G148600
SORBI_3005G130800		SORBI_3007G132000	SORBI_3009G097100	SORBI_3005G092500	SORBI_3008G093200	SORBI_3004G146900	SORBI_3005G116400	SORBI_3003G179000	SORBI_3004G122200	SORBI_3002G280800	SORBI_3003G149100
SORBI_3006G019000		SORBI_3007G140400	SORBI_3009G098601	SORBI_3005G098100	SORBI_3008G093500	SORBI_3004G147300	SORBI_3005G120433	SORBI_3003G179800	SORBI_3004G126601	SORBI_3002G283200	SORBI_3003G215300
SORBI_3006G037300		SORBI_3008G069300	SORBI_3009G098900	ENSRNA049996218	SORBI_3008G098300	SORBI_3004G147500	SORBI_3005G120600	SORBI_3003G180100	SORBI_3004G127066	SORBI_3002G322900	SORBI_3003G216000
SORBI_3006G038700		SORBI_3008G075600	SORBI_3009G100200	SORBI_3005G101850	SORBI_3008G100400	SORBI_3004G153900	SORBI_3006G016200	SORBI_3003G182400	SORBI_3004G127600	SORBI_3002G392200	SORBI_3003G216700
SORBI_3006G039500		SORBI_3008G078800	SORBI_3009G105000	SORBI_3005G102401	SORBI_3008G102050	SORBI_3004G176600	SORBI_3006G017332	SORBI_3003G184500	SORBI_3004G128200	SORBI_3003G027000	SORBI_3003G240300
SORBI_3006G039800		SORBI_3008G086500	SORBI_3009G106601	SORBI_3005G103300	SORBI_3008G102532	SORBI_3004G212250	SORBI_3006G017500	SORBI_3003G184900	SORBI_3004G129100	SORBI_3003G040200	SORBI_3003G254500
SORBI_3006G041750		SORBI_3008G088887	SORBI_3009G108050	ENSRNA049996183	SORBI_3008G105850	SORBI_3004G229500	SORBI_3006G032300	SORBI_3003G185200	SORBI_3004G130400	SORBI_3003G040800	SORBI_3003G258900
SORBI_3006G041932		SORBI_3008G088890	SORBI_3009G108700	SORBI_3005G109101	SORBI_3008G107200	SORBI_3004G350800	SORBI_3006G034275	SORBI_3003G186600	SORBI_3004G130600	SORBI_3003G068700	SORBI_3003G275600
SORBI_3006G048850		SORBI_3008G092600	SORBI_3009G132000	SORBI_3005G109300	SORBI_3008G107300	SORBI_3005G001000	SORBI_3006G035500	SORBI_3003G189700	SORBI_3004G132400	SORBI_3003G079532	SORBI_3003G292866
SORBI_3006G049800		SORBI_3008G092866	SORBI_3010G060900	SORBI_3005G110508	SORBI_3008G109300	SORBI_3005G010000	SORBI_3006G035600	SORBI_3003G206300	SORBI_3004G133400	SORBI_3003G119800	SORBI_3003G302800
SORBI_3006G075100		SORBI_3008G093200	SORBI_3010G102800	SORBI_3005G111100	SORBI_3008G115600	SORBI_3005G018700	SORBI_3006G036201	SORBI_3003G211600	SORBI_3004G133900	SORBI_3003G128350	SORBI_3003G304500
SORBI_3007G074800		SORBI_3008G093500	SORBI_3010G120200	SORBI_3005G111800	SORBI_3008G117400	SORBI_3005G025100	SORBI_3006G036700	SORBI_3003G215300	SORBI_3004G134200	SORBI_3003G128500	SORBI_3003G315700
SORBI_3007G090200		SORBI_3008G094150	SORBI_3010G120500	SORBI_3005G112300	SORBI_3008G120450	SORBI_3005G025300	SORBI_3006G036801	SORBI_3003G216700	SORBI_3004G134700	SORBI_3003G128800	SORBI_3003G321400
SORBI_3007G090466		SORBI_3008G100400	SORBI_3010G125300	SORBI_3005G112900	SORBI_3008G121400	SORBI_3005G031000	SORBI_3006G038300	SORBI_3003G228500	SORBI_3004G134900	ENSRNA049484868	SORBI_3003G405600
SORBI_3007G091200		SORBI_3008G101350	SORBI_3010G125900	SORBI_3005G113101	SORBI_3008G145500	SORBI_3005G064300	SORBI_3006G038700	SORBI_3003G240300	SORBI_3004G135000	SORBI_3003G144800	SORBI_3003G438000
SORBI_3007G092450		SORBI_3008G102050	SORBI_3010G126000	SORBI_3005G114101	SORBI_3008G184900	SORBI_3005G082950	SORBI_3006G039500	SORBI_3003G254500	SORBI_3004G135366	SORBI_3003G144900	SORBI_3004G006900
ENSRNA049995871		SORBI_3008G105850	SORBI_3010G132600	SORBI_3005G114400	SORBI_3009G003000	SORBI_3005G089800	SORBI_3006G040201	SORBI_3003G258900	SORBI_3004G135400	SORBI_3003G146450	SORBI_3004G015700
SORBI_3007G095000		SORBI_3008G106400	SORBI_3010G139100	SORBI_3005G114500	SORBI_3009G087800	SORBI_3005G096201	SORBI_3006G040301	SORBI_3003G292866	SORBI_3004G135700	SORBI_3003G147000	SORBI_3004G017800
SORBI_3007G098950		SORBI_3008G107300	SORBI_3010G139550	ENSRNA049485575	SORBI_3009G089700	SORBI_3005G103000	SORBI_3006G040401	SORBI_3003G302800	SORBI_3004G136100	SORBI_3003G148600	SORBI_3004G054700
SORBI_3007G099400		SORBI_3008G110000	SORBI_3010G139600	SORBI_3005G119800	SORBI_3009G090250	SORBI_3005G111200	SORBI_3006G041100	SORBI_3003G304500	SORBI_3004G136300	SORBI_3003G149100	SORBI_3004G110200
SORBI_3007G109900		SORBI_3008G121240	SORBI_3010G140575	SORBI_3005G119950	SORBI_3009G090400	SORBI_3005G112100	SORBI_3006G041600	SORBI_3003G315700	SORBI_3004G136400	SORBI_3003G155100	SORBI_3004G113800
SORBI_3007G111300		SORBI_3008G122700	SORBI_3010G140600	SORBI_3005G121300	SORBI_3009G092100	SORBI_3005G112900	ENSRNA049996151	SORBI_3003G429900	SORBI_3004G136701	SORBI_3003G158100	SORBI_3004G118700
SORBI_3007G114500		SORBI_3008G139100	SORBI_3010G140800	SORBI_3005G133400	SORBI_3009G093100	SORBI_3005G113766	SORBI_3006G047500	SORBI_3003G438000	SORBI_3004G138000	SORBI_3003G160466	SORBI_3004G119400
SORBI_3007G115000		SORBI_3008G184900	SORBI_3010G143800	SORBI_3005G141801	SORBI_3009G093800	ENSRNA049485575	SORBI_3006G048700	SORBI_3004G013300	SORBI_3004G138350	SORBI_3003G162200	SORBI_3004G122100
SORBI_3007G131500		SORBI_3009G003600	SORBI_3010G144500	SORBI_3005G143500	SORBI_3009G093900	SORBI_3005G115200	SORBI_3006G049450	SORBI_3004G054700	SORBI_3004G138750	SORBI_3003G164200	SORBI_3004G122200
SORBI_3008G036000		SORBI_3009G080900	SORBI_3010G144600	SORBI_3005G221100	SORBI_3009G094600	SORBI_3005G116000	SORBI_3006G054500	SORBI_3004G087432	SORBI_3004G138800	SORBI_3003G165700	SORBI_3004G123300
SORBI_3008G069401		SORBI_3009G090400	SORBI_3010G145300	SORBI_3005G232200	SORBI_3009G094900	SORBI_3005G116400	SORBI_3006G057866	SORBI_3004G092000	SORBI_3004G139500	SORBI_3003G166400	SORBI_3004G127066
SORBI_3008G078900		SORBI_3009G094600	SORBI_3010G147200	SORBI_3006G001600	SORBI_3009G095400	SORBI_3005G120433	SORBI_3006G060601	SORBI_3004G095800	SORBI_3004G140200	SORBI_3003G166750	SORBI_3004G127600
SORBI_3008G088300		SORBI_3009G095400	SORBI_3010G152600	SORBI_3006G009900	SORBI_3009G095720	SORBI_3005G120600	SORBI_3006G109500	SORBI_3004G100900	SORBI_3004G140400	SORBI_3003G166875	SORBI_3004G128200
SORBI_3008G092932		SORBI_3009G095720	SORBI_3010G154150	SORBI_3006G024800	SORBI_3009G096100	SORBI_3005G129201	SORBI_3007G054000	SORBI_3004G110200	SORBI_3004G141800	SORBI_3003G167000	SORBI_3004G128900
SORBI_3008G102600		SORBI_3009G096100	SORBI_3010G174100	SORBI_3006G033200	SORBI_3009G097100	SORBI_3005G129501	SORBI_3007G089900	SORBI_3004G113800	SORBI_3004G143700	SORBI_3003G167300	SORBI_3004G129100
SORBI_3008G139200		SORBI_3009G097100	SORBI_3001G186500	SORBI_3006G033380	SORBI_3009G098601	SORBI_3005G130500	SORBI_3007G090403	SORBI_3004G122100	SORBI_3004G144500	SORBI_3003G169600	SORBI_3004G130400
SORBI_3009G081100		SORBI_3009G098601	SORBI_3001G205200	SORBI_3006G035300	SORBI_3009G098900	SORBI_3005G141801	SORBI_3007G090800	SORBI_3004G122200	SORBI_3004G144800	SORBI_3003G170600	SORBI_3004G130600
SORBI_3009G090500		SORBI_3009G098900	SORBI_3001G257300	SORBI_3006G035400	SORBI_3009G100200	SORBI_3005G143300	SORBI_3007G091000	SORBI_3004G126601	SORBI_3004G146700	SORBI_3003G170700	SORBI_3004G130948
SORBI_3009G096100		SORBI_3009G105000	SORBI_3001G260600	SORBI_3006G035700	SORBI_3009G100800	SORBI_3005G146966	SORBI_3007G091301	SORBI_3004G127066	SORBI_3004G146900	SORBI_3003G170900	SORBI_3004G132400
SORBI_3009G098700		SORBI_3009G108050	SORBI_3001G261250	SORBI_3006G036201	SORBI_3009G101200	SORBI_3005G175150	SORBI_3007G091800	SORBI_3004G128200	SORBI_3004G147300	SORBI_3003G171400	SORBI_3004G133400
SORBI_3009G111200		ENSRNA049481000	SORBI_3001G261404	SORBI_3006G037200	SORBI_3009G101600	SORBI_3005G184000	SORBI_3007G095850	SORBI_3004G129100	SORBI_3004G147500	SORBI_3003G173332	SORBI_3004G133900
SORBI_3009G112450		SORBI_3009G118900	SORBI_3001G263300	SORBI_3006G039400	SORBI_3009G101700	SORBI_3006G017332	SORBI_3007G101200	SORBI_3004G130400	SORBI_3004G150700	SORBI_3003G173400	SORBI_3004G134700
SORBI_3009G117700		SORBI_3009G132000	SORBI_3001G263900	SORBI_3006G040401	SORBI_3009G103700	SORBI_3006G034275	SORBI_3007G101500	SORBI_3004G133400	SORBI_3004G157700	SORBI_3003G173600	SORBI_3004G134900
SORBI_3010G126000		SORBI_3010G001000	SORBI_3001G264500	SORBI_3006G041700	SORBI_3009G105000	SORBI_3006G035500	SORBI_3007G102900	SORBI_3004G133900	SORBI_3004G160100	SORBI_3003G173800	SORBI_3004G135000
SORBI_3010G140100		SORBI_3010G102800	SORBI_3001G327900	SORBI_3006G044466	SORBI_3009G107020	SORBI_3006G035600	SORBI_3007G104300	SORBI_3004G134200	SORBI_3004G176600	SORBI_3003G174800	SORBI_3004G135400
SORBI_3010G140200		SORBI_3010G120200	SORBI_3001G331301	SORBI_3006G046600	SORBI_3009G108050	SORBI_3006G036201	SORBI_3007G106400	SORBI_3004G134700	SORBI_3004G212250	SORBI_3003G175350	SORBI_3004G135700
SORBI_3010G140700		SORBI_3010G126000	SORBI_3003G136301	SORBI_3006G047100	SORBI_3009G135100	SORBI_3006G036700	SORBI_3007G106800	SORBI_3004G134900	SORBI_3004G229500	SORBI_3003G176500	SORBI_3004G136100
SORBI_3010G141001		SORBI_3010G132600	SORBI_3003G161300	SORBI_3006G048775	SORBI_3010G060900	SORBI_3006G036801	SORBI_3007G111300	SORBI_3004G135000	SORBI_3004G251350	SORBI_3003G178601	SORBI_3004G136300
SORBI_3010G152700		SORBI_3010G139550	SORBI_3003G166875	SORBI_3006G049666	SORBI_3010G102800	SORBI_3006G038700	SORBI_3007G112301	SORBI_3004G135300	SORBI_3004G253700	SORBI_3003G178700	SORBI_3004G136400
		SORBI_3010G139600	SORBI_3003G167900	SORBI_3006G050000	SORBI_3010G111450	SORBI_3006G039500	SORBI_3007G112766	SORBI_3004G135366	SORBI_3005G014950	SORBI_3003G179800	SORBI_3004G136800
		SORBI_3010G143800	SORBI_3003G170600	SORBI_3006G050050	SORBI_3010G115800	SORBI_3006G040201	SORBI_3007G113900	SORBI_3004G135400	SORBI_3005G018700	SORBI_3003G180100	SORBI_3004G137000
		SORBI_3010G144500	SORBI_3003G170900	SORBI_3006G057866	SORBI_3010G116200	SORBI_3006G040301	SORBI_3007G123000	SORBI_3004G135700	SORBI_3005G064300	SORBI_3003G184500	SORBI_3004G138000
		SORBI_3010G145300	SORBI_3003G171032	SORBI_3006G068300	SORBI_3010G120200	SORBI_3006G041100	SORBI_3007G124900	SORBI_3004G136100	SORBI_3005G067900	SORBI_3003G185200	SORBI_3004G138350
		SORBI_3010G174100	SORBI_3003G171701	SORBI_3006G072501	SORBI_3010G121200	ENSRNA049996151	SORBI_3007G125500	SORBI_3004G136300	SORBI_3005G078600	SORBI_3003G186600	SORBI_3004G138750
		SORBI_3010G211200	SORBI_3003G173600	SORBI_3006G084900	SORBI_3010G122400	SORBI_3006G047500	SORBI_3007G126600	SORBI_3004G136400	SORBI_3005G080100	SORBI_3003G189700	SORBI_3004G138800
		SORBI_3001G257300	SORBI_3003G173950	SORBI_3006G097300	SORBI_3010G124300	SORBI_3006G048600	SORBI_3008G055800	SORBI_3004G136701	SORBI_3005G082950	SORBI_3003G190200	SORBI_3004G139500
		SORBI_3001G261250	SORBI_3003G174425	SORBI_3006G131800	SORBI_3010G125300	SORBI_3006G048700	SORBI_3008G063500	SORBI_3004G136800	SORBI_3005G084000	SORBI_3003G206300	SORBI_3004G139800
		SORBI_3001G263900	SORBI_3003G179300	SORBI_3006G247500	SORBI_3010G125900	SORBI_3006G049450	SORBI_3008G068133	SORBI_3004G138000	SORBI_3005G087600	SORBI_3003G211600	SORBI_3004G140200
		SORBI_3001G279800	SORBI_3004G127066	SORBI_3007G088200	SORBI_3010G126000	SORBI_3006G054500	SORBI_3008G069401	SORBI_3004G138350	SORBI_3005G089800	SORBI_3003G215300	SORBI_3004G140400
		SORBI_3001G297200	SORBI_3004G127650	SORBI_3007G091200	SORBI_3010G128300	SORBI_3006G057866	SORBI_3008G083200	SORBI_3004G138750	SORBI_3005G096201	SORBI_3003G216000	SORBI_3004G142800
		SORBI_3002G039000	SORBI_3004G129201	SORBI_3007G092400	SORBI_3010G130700	SORBI_3006G109500	SORBI_3008G085350	SORBI_3004G139500	ENSRNA049996218	SORBI_3003G216700	SORBI_3004G143700
		SORBI_3002G099401	SORBI_3004G130916	SORBI_3007G092600	SORBI_3010G132600	SORBI_3007G008700	SORBI_3008G087900	SORBI_3004G140200	SORBI_3005G103000	SORBI_3003G228500	SORBI_3004G144800
		SORBI_3002G117700	SORBI_3004G134200	SORBI_3007G094050	SORBI_3010G134900	SORBI_3007G018000	SORBI_3008G088887	SORBI_3004G140400	SORBI_3005G103200	SORBI_3003G238200	SORBI_3004G146100
		SORBI_3002G120400	SORBI_3004G135500	SORBI_3007G097100	SORBI_3010G135000	SORBI_3007G054000	SORBI_3008G089366	SORBI_3004G143700	SORBI_3005G104001	SORBI_3003G254500	SORBI_3004G146700
		SORBI_3002G127100	SORBI_3004G135800	SORBI_3007G098400	SORBI_3010G137100	SORBI_3007G064500	SORBI_3008G090800	SORBI_3004G144800	SORBI_3005G104100	SORBI_3003G258900	SORBI_3004G146900
		SORBI_3002G136500	SORBI_3004G136400	SORBI_3007G099700	SORBI_3010G139550	SORBI_3007G089900	SORBI_3008G092600	SORBI_3004G146900	SORBI_3005G107900	SORBI_3003G292866	SORBI_3004G147300
		SORBI_3002G142200	SORBI_3005G094200	SORBI_3007G101200	SORBI_3010G140575	SORBI_3007G090403	SORBI_3008G093200	SORBI_3004G147300	SORBI_3005G109000	SORBI_3003G302800	SORBI_3004G147500
		SORBI_3002G143450	SORBI_3005G098250	SORBI_3007G105200	SORBI_3010G140600	SORBI_3007G091000	SORBI_3008G102000	SORBI_3004G150700	SORBI_3005G111100	SORBI_3003G304500	SORBI_3004G147700
		SORBI_3002G145000	SORBI_3005G099600	SORBI_3007G106800	SORBI_3010G140700	SORBI_3007G091301	SORBI_3008G105850	SORBI_3004G157700	SORBI_3005G111200	SORBI_3003G321400	SORBI_3004G150700
		SORBI_3002G146100	SORBI_3005G102000	SORBI_3007G110900	SORBI_3010G143800	SORBI_3007G091800	SORBI_3008G107300	SORBI_3004G160100	SORBI_3005G111800	SORBI_3003G354900	SORBI_3004G153900
		ENSRNA049465688	SORBI_3005G102451	SORBI_3007G111100	SORBI_3010G144600	SORBI_3007G095850	SORBI_3008G110450	SORBI_3004G181800	SORBI_3005G112100	SORBI_3003G438000	SORBI_3004G160100
		SORBI_3002G147466	SORBI_3005G103400	SORBI_3007G111200	SORBI_3010G144900	SORBI_3007G101200	SORBI_3008G110600	SORBI_3004G251350	SORBI_3005G112700	SORBI_3004G015700	SORBI_3004G229500
		SORBI_3002G147600	SORBI_3005G105300	SORBI_3007G114401	SORBI_3010G145100	SORBI_3007G102900	SORBI_3008G117600	SORBI_3004G293800	SORBI_3005G112900	SORBI_3004G017800	SORBI_3004G251350
		SORBI_3002G150766	SORBI_3005G105700	SORBI_3007G115000	SORBI_3010G145300	SORBI_3007G103400	SORBI_3008G150200	SORBI_3004G303400	SORBI_3005G113101	SORBI_3004G054700	SORBI_3004G253700
		SORBI_3002G153400	SORBI_3005G109400	SORBI_3007G118025	SORBI_3010G147200	SORBI_3007G104300	SORBI_3009G060100	SORBI_3004G315800	SORBI_3005G113300	SORBI_3004G087432	SORBI_3005G017400
		SORBI_3002G154100	SORBI_3005G110000	SORBI_3007G119000	SORBI_3010G152600	SORBI_3007G106400	SORBI_3009G075600	SORBI_3004G350800	SORBI_3005G113766	SORBI_3004G093600	SORBI_3005G064300
		SORBI_3002G155301	SORBI_3005G110511	SORBI_3007G126600	SORBI_3010G153700	SORBI_3007G111300	SORBI_3009G076500	SORBI_3004G359300	SORBI_3005G114000	SORBI_3004G095800	SORBI_3005G067900
		SORBI_3002G158500	SORBI_3005G112400	SORBI_3007G132000	SORBI_3010G154150	SORBI_3007G112301	SORBI_3009G083800	SORBI_3005G001000	SORBI_3005G114101	SORBI_3004G100900	SORBI_3005G078600
		SORBI_3003G161300	SORBI_3005G112800	SORBI_3007G140400	SORBI_3010G173550	SORBI_3007G112766	SORBI_3009G087300	SORBI_3005G025100	SORBI_3005G114400	SORBI_3004G110200	SORBI_3005G080100
		SORBI_3003G167900	SORBI_3005G113300	SORBI_3008G058600	SORBI_3010G175400	SORBI_3007G113900	SORBI_3009G090800	SORBI_3005G025300	SORBI_3005G114900	SORBI_3004G113800	SORBI_3005G084000
		SORBI_3003G170900	SORBI_3005G114201	SORBI_3008G069300	SORBI_3010G192300	SORBI_3007G124900	SORBI_3009G090900	SORBI_3005G031000	ENSRNA049485570	SORBI_3004G118700	SORBI_3005G087600
		SORBI_3003G171701	SORBI_3005G114600	SORBI_3008G074900	SORBI_3001G193100	SORBI_3007G125500	SORBI_3009G091600	SORBI_3005G064300	ENSRNA049485575	SORBI_3004G119400	SORBI_3005G089800
		SORBI_3003G174425	SORBI_3005G115000	SORBI_3008G075600	SORBI_3001G207633	SORBI_3007G126600	SORBI_3009G095720	SORBI_3005G078600	SORBI_3005G115200	SORBI_3004G122100	SORBI_3005G090500
		SORBI_3003G187400	SORBI_3005G115300	SORBI_3008G077600	SORBI_3001G219200	SORBI_3008G055800	SORBI_3009G096566	SORBI_3005G082950	SORBI_3005G116000	SORBI_3004G122200	SORBI_3005G096201
		SORBI_3003G216901	SORBI_3005G121500	SORBI_3008G078600	SORBI_3001G223200	SORBI_3008G063500	SORBI_3009G101200	SORBI_3005G087600	SORBI_3005G116400	SORBI_3004G123300	SORBI_3005G103000
		SORBI_3003G226700	SORBI_3005G130550	SORBI_3008G078800	SORBI_3001G231800	SORBI_3008G068133	SORBI_3009G101700	SORBI_3005G089800	SORBI_3005G117400	SORBI_3004G126601	SORBI_3005G103200
		SORBI_3003G425200	SORBI_3005G130700	SORBI_3008G082600	SORBI_3001G237700	SORBI_3008G069401	SORBI_3009G102400	SORBI_3005G096201	SORBI_3005G119800	SORBI_3004G127066	SORBI_3005G104001
		SORBI_3004G111500	SORBI_3005G141900	SORBI_3008G086500	SORBI_3001G257300	SORBI_3008G073500	SORBI_3009G118900	SORBI_3005G103000	SORBI_3005G120433	SORBI_3004G128200	SORBI_3005G107900
		SORBI_3004G122200	SORBI_3005G194300	SORBI_3008G088890	SORBI_3001G261300	SORBI_3008G083200	SORBI_3009G121600	SORBI_3005G103200	SORBI_3005G120600	SORBI_3004G128900	SORBI_3005G109000
		SORBI_3004G127650	SORBI_3007G109900	SORBI_3008G089366	SORBI_3001G261404	SORBI_3008G087900	SORBI_3010G045100	SORBI_3005G104001	SORBI_3005G156800	SORBI_3004G129100	SORBI_3005G111200
		SORBI_3004G129201	SORBI_3007G111150	SORBI_3008G090900	SORBI_3001G263900	SORBI_3008G088887	SORBI_3010G087300	SORBI_3005G107900	SORBI_3005G197300	SORBI_3004G130400	SORBI_3005G111450
		SORBI_3004G134200	SORBI_3007G111300	SORBI_3008G092532	SORBI_3001G264500	SORBI_3008G089366	SORBI_3010G088800	SORBI_3005G109000	SORBI_3006G000800	SORBI_3004G130948	SORBI_3005G111800
		SORBI_3004G135400	SORBI_3007G111700	SORBI_3008G092600	SORBI_3001G267800	SORBI_3008G090800	SORBI_3010G089600	SORBI_3005G109900	SORBI_3006G016600	SORBI_3004G131200	SORBI_3005G112100
		SORBI_3004G142201	SORBI_3007G113950	SORBI_3008G093500	SORBI_3001G327900	SORBI_3008G092600	SORBI_3010G100300	SORBI_3005G111200	SORBI_3006G017332	SORBI_3004G133400	SORBI_3005G112300
		SORBI_3004G142800	SORBI_3008G069401	SORBI_3008G094150	SORBI_3001G331301	SORBI_3008G093200	SORBI_3010G111900	SORBI_3005G111800	SORBI_3006G018650	SORBI_3004G133900	SORBI_3005G112700
		SORBI_3004G151000	SORBI_3008G075100	SORBI_3008G095200	SORBI_3002G275900	SORBI_3008G102000	SORBI_3010G122400	SORBI_3005G112100	SORBI_3006G018701	SORBI_3004G134200	SORBI_3005G112900
		SORBI_3004G154400	SORBI_3008G075700	SORBI_3008G100400	SORBI_3003G136301	SORBI_3008G105850	SORBI_3010G122533	SORBI_3005G112700	SORBI_3006G022700	SORBI_3004G134700	SORBI_3005G113101
		SORBI_3004G158400	SORBI_3008G077100	SORBI_3008G102050	SORBI_3003G161300	SORBI_3008G107300	SORBI_3010G124166	SORBI_3005G112900	SORBI_3006G025300	SORBI_3004G134900	SORBI_3005G113300
		SORBI_3004G169900	SORBI_3008G078900	SORBI_3008G105850	SORBI_3003G162000	SORBI_3008G110450	SORBI_3010G129450	SORBI_3005G113101	SORBI_3006G026000	SORBI_3004G135000	SORBI_3005G113766
